name;outside
Nursery;false
Nursery;false
West window;false
Garage;false
Garage;false
Garage;false
South Window;false
Nursery;false
West Window;false
South Window;false
Garage;false
Garage;false
West Window;false
South Window;false
Nursery;false
South Window;false
Garage;false
South Window;false
South window;false
Front Door;false
Garage;false
Bathroom;false
Nursery;false
Garage;false
Garage;false
Front Door;false
Garage;false
West Window;false
South Window;false
West Window;false
Garage;false
Nursery;false
Garage;false
Garage;false
Front Door;false
Garage;false
South Window;false
Garage;false
Nursery;false
West Window;false
South Window;false
Garage;false
Garage;false
South Window;false
Garage;false
Garage;false
Garage;false
West Window;false
South Window;false
Garage;false
Front Door;false
Nursery;false
South Window;false
Garage;false
South Window;false
South Window;false
West Window;false
South Window;false
Garage;false
West Window;false
South Window;false
Garage;false
Front Door;false
South Window;false
Garage;false
Garage;false
Nursery;false
South Window;false
Front Door;false
Nursery;false
South Window;false
South Window;false
Front Door;false
West Window;false
South Window;false
Garage;false
Garage;false
Garage;false
Nursery;false
Garage;false
West Window;false
Nursery;false
Garage;false
Nursery;false
Kitchen;false
Garage;false
